symbol,name,reportDate,fiscalDateEnding,estimate,currency
A,Agilent Technologies Inc,2024-08-13,2024-07-31,1.27,USD
A,Agilent Technologies Inc,2024-11-18,2024-10-31,,USD
A,Agilent Technologies Inc,2025-02-25,2025-01-31,,USD
AA,Alcoa Corp,2024-07-17,2024-06-30,0.03,USD
AA,Alcoa Corp,2024-10-16,2024-09-30,,USD
AA,Alcoa Corp,2025-01-15,2024-12-31,,USD
AA,Alcoa Corp,2025-05-09,2025-03-31,,USD
AAALY,AAALY,2024-08-08,2024-06-30,,EUR
AAALY,AAALY,2024-11-07,2024-09-30,,EUR
AABVF,AABVF,2024-09-15,2024-07-31,,CAD
AABVF,AABVF,2024-12-12,2024-10-31,,CAD
AABVF,AABVF,2025-04-24,2025-01-31,,CAD
AABVF,AABVF,2025-06-10,2025-04-30,,CAD
AACAF,AACAF,2024-08-22,2024-06-30,,CNY
AACAF,AACAF,2025-03-19,2024-12-31,,CNY
AACAF,AACAF,2025-05-23,2025-03-31,,CNY
AACAY,AACAY,2024-08-22,2024-06-30,,CNY
AACAY,AACAY,2025-03-19,2024-12-31,,CNY
AACAY,AACAY,2025-05-23,2025-03-31,,CNY
AACG,ATA Creativity Global,2024-08-08,2024-06-30,,CNY
AACG,ATA Creativity Global,2024-11-11,2024-09-30,,CNY
AACG,ATA Creativity Global,2025-03-24,2024-12-31,,CNY
AACTF,AACTF,2024-06-28,2024-03-31,,USD
AACTF,AACTF,2024-09-03,2024-06-30,,USD
AACTF,AACTF,2024-11-27,2024-09-30,,USD
AACTF,AACTF,2025-02-26,2024-12-31,,USD
AADI,Aadi Bioscience Inc,2024-08-07,2024-06-30,-0.69,USD
AADI,Aadi Bioscience Inc,2024-11-06,2024-09-30,,USD
AADI,Aadi Bioscience Inc,2025-03-11,2024-12-31,,USD
AADI,Aadi Bioscience Inc,2025-05-06,2025-03-31,-0.64,USD
AAFRF,AAFRF,2024-07-03,2024-06-30,,USD
AAFRF,AAFRF,2024-10-28,2024-09-30,,USD
AAGFF,AAGFF,2024-11-28,2024-08-31,,USD
AAGIY,AAGIY,2024-08-22,2024-06-30,,USD
AAGIY,AAGIY,2025-03-12,2024-12-31,,USD
AAGIY,AAGIY,2025-05-22,2025-03-31,,USD
AAGRY,AAGRY,2024-07-10,2024-06-30,,USD
AAGRY,AAGRY,2024-10-28,2024-09-30,,USD
AAGRY,AAGRY,2025-03-31,2024-12-31,,USD
AAIC,AAIC,2024-08-12,2024-06-30,,USD
AAIC,AAIC,2024-11-11,2024-09-30,,USD
AAIGF,AAIGF,2024-08-22,2024-06-30,,USD
AAIGF,AAIGF,2025-03-12,2024-12-31,,USD
AAIRD,AAIRD,2024-08-21,2024-06-30,,CAD
AAIRF,AAIRF,2024-08-21,2024-06-30,,CAD
AAIRF,AAIRF,2024-11-18,2024-09-30,,CAD
AAIRF,AAIRF,2025-04-09,2025-03-31,,CAD
AAL,American Airlines Group Inc,2024-07-18,2024-06-30,1.1,USD
AAL,American Airlines Group Inc,2024-10-17,2024-09-30,,USD
AAL,American Airlines Group Inc,2025-01-23,2024-12-31,,USD
AAL,American Airlines Group Inc,2025-06-05,2025-03-31,,USD
AALBF,AALBF,2024-09-23,2024-06-30,,USD
AAM-PA,AAM-PA,2024-08-05,2024-06-30,,USD
AAMC,Altisource Asset Management Corp,2024-08-12,2024-06-30,,USD
AAMC,Altisource Asset Management Corp,2024-12-20,2024-09-30,,USD
AAMC,Altisource Asset Management Corp,2025-03-27,2024-12-31,,USD
AAME,Atlantic American Corp,2024-08-06,2024-06-30,,USD
AAME,Atlantic American Corp,2024-11-11,2024-09-30,,USD
AAME,Atlantic American Corp,2025-03-31,2024-12-31,,USD
AAME,Atlantic American Corp,2025-05-12,2025-03-31,,USD
AAMMF,AAMMF,2024-06-26,2024-03-31,,CAD
AAN,Aarons Company Inc (The),2024-07-29,2024-06-30,0.03,USD
AAN,Aarons Company Inc (The),2024-10-21,2024-09-30,,USD
AAN,Aarons Company Inc (The),2025-02-24,2024-12-31,,USD
AAN,Aarons Company Inc (The),2025-05-15,2025-03-31,,USD
AANNF,AANNF,2024-08-28,2024-06-30,,USD
AANNF,AANNF,2024-11-27,2024-09-30,,USD
AAOI,Applied Optoelectronics Inc,2024-08-01,2024-06-30,-0.29,USD
AAOI,Applied Optoelectronics Inc,2024-11-07,2024-09-30,,USD
AAOI,Applied Optoelectronics Inc,2025-02-20,2024-12-31,,USD
AAOI,Applied Optoelectronics Inc,2025-05-07,2025-03-31,-0.29,USD
AAON,AAON Inc,2024-08-01,2024-06-30,0.5,USD
AAON,AAON Inc,2024-11-04,2024-09-30,,USD
AAON,AAON Inc,2025-02-26,2024-12-31,,USD
AAON,AAON Inc,2025-05-21,2025-03-31,,USD
AAP,Advance Auto Parts Inc,2024-08-21,2024-06-30,1.01,USD
AAP,Advance Auto Parts Inc,2024-11-13,2024-09-30,,USD
AAP,Advance Auto Parts Inc,2025-02-26,2024-12-31,,USD
AAP,Advance Auto Parts Inc,2025-05-27,2025-03-31,,USD
AAPL,Apple Inc,2024-08-01,2024-06-30,1.32,USD
AAPL,Apple Inc,2024-10-31,2024-09-30,,USD
AAPL,Apple Inc,2025-02-27,2024-12-31,,USD
AARTY,AARTY,2024-07-03,2024-06-30,,USD
AARTY,AARTY,2024-10-28,2024-09-30,,USD
AASZD,AASZD,2024-08-20,2024-06-30,,USD
AASZD,AASZD,2025-04-24,2025-03-31,,USD
AASZF,AASZF,2024-08-20,2024-06-30,,USD
AASZF,AASZF,2025-04-24,2025-03-31,,USD
AAT,American Assets Trust Inc,2024-07-23,2024-06-30,0.14,USD
AAT,American Assets Trust Inc,2024-10-22,2024-09-30,,USD
AAT,American Assets Trust Inc,2025-02-04,2024-12-31,,USD
AAT,American Assets Trust Inc,2025-04-28,2025-03-31,,USD
AATC,AATC,2024-08-08,2024-06-30,,USD
AATC,AATC,2025-02-07,2024-12-31,,USD
AATGD,AATGD,2024-08-27,2024-06-30,,USD
AATGD,AATGD,2024-11-27,2024-09-30,,USD
AATGF,AATGF,2024-06-28,2024-03-31,,CAD
AATGF,AATGF,2024-08-27,2024-06-30,,CAD
AATGF,AATGF,2024-11-27,2024-09-30,,CAD
AAU,AAU,2024-08-08,2024-06-30,,USD
AAU,AAU,2024-11-08,2024-09-30,,USD
AAU,AAU,2025-03-18,2024-12-31,,USD
AAUAF,AAUAF,2024-08-08,2024-06-30,,USD
AAUAF,AAUAF,2024-11-08,2024-09-30,,USD
AAUAF,AAUAF,2025-03-18,2024-12-31,,USD
AAUAF,AAUAF,2025-05-12,2025-03-31,,USD
AAUGF,AAUGF,2024-09-25,2024-07-31,,USD
AAUGF,AAUGF,2024-12-21,2024-10-31,,USD
AAUGF,AAUGF,2025-04-01,2025-01-31,,USD
AAUKF,AAUKF,2024-07-25,2024-06-30,,USD
AAUKF,AAUKF,2025-02-20,2024-12-31,,USD
AAVMY,AAVMY,2024-08-07,2024-06-30,,EUR
AAVMY,AAVMY,2024-11-13,2024-09-30,,EUR
AAVMY,AAVMY,2025-02-12,2024-12-31,,EUR
AAVMY,AAVMY,2025-05-13,2025-03-31,,EUR
AAVVF,AAVVF,2024-07-25,2024-06-30,0.03,CAD
AAVVF,AAVVF,2024-10-24,2024-09-30,,CAD
AAVVF,AAVVF,2025-03-03,2024-12-31,,CAD
AAVVF,AAVVF,2025-04-23,2025-03-31,,CAD
AAVXF,AAVXF,2024-09-09,2024-06-30,,EUR
AAVXF,AAVXF,2024-11-07,2024-09-30,,EUR
AAVXF,AAVXF,2025-03-31,2024-12-31,,EUR
AAVXF,AAVXF,2025-05-30,2025-03-31,,EUR
AAWH,AAWH,2024-08-08,2024-06-30,-0.06,USD
AAWH,AAWH,2025-05-02,2025-03-31,,USD
AAYYY,AAYYY,2024-07-25,2024-06-30,,AUD
AAYYY,AAYYY,2024-11-14,2024-09-30,,AUD
AB,AllianceBernstein Holding Lp,2024-07-25,2024-06-30,0.69,USD
AB,AllianceBernstein Holding Lp,2024-10-24,2024-09-30,,USD
AB,AllianceBernstein Holding Lp,2025-02-04,2024-12-31,,USD
AB,AllianceBernstein Holding Lp,2025-04-23,2025-03-31,,USD
ABAT,Advanced Battery Technologies Inc,2024-09-26,2024-06-30,-0.11,USD
ABAT,Advanced Battery Technologies Inc,2024-12-11,2024-09-30,,USD
ABAT,Advanced Battery Technologies Inc,2025-02-12,2024-12-31,,USD
ABBNY,ABBNY,2024-07-18,2024-06-30,0.84,USD
ABBNY,ABBNY,2024-10-17,2024-09-30,,USD
ABBNY,ABBNY,2025-01-30,2024-12-31,,USD
ABBNY,ABBNY,2025-04-16,2025-03-31,,USD
ABBRD,ABBRD,2024-08-28,2024-06-30,,CAD
ABBRD,ABBRD,2024-11-26,2024-09-30,,CAD
ABBRD,ABBRD,2025-05-27,2025-03-31,,CAD
ABBRF,ABBRF,2024-08-28,2024-06-30,,CAD
ABBRF,ABBRF,2024-11-26,2024-09-30,,CAD
ABBRF,ABBRF,2025-05-27,2025-03-31,,CAD
ABBV,Abbvie Inc,2024-07-25,2024-06-30,3.05,USD
ABBV,Abbvie Inc,2024-10-25,2024-09-30,,USD
ABBV,Abbvie Inc,2025-01-31,2024-12-31,,USD
ABBV,Abbvie Inc,2025-05-02,2025-03-31,,USD
ABC,ABC,2024-07-31,2024-06-30,,USD
ABCAF,ABCAF,2024-08-22,2024-06-30,,CAD
ABCAF,ABCAF,2024-11-27,2024-09-30,,CAD
ABCB,Ameris Bancorp,2024-07-25,2024-06-30,1.14,USD
ABCB,Ameris Bancorp,2024-10-24,2024-09-30,,USD
ABCB,Ameris Bancorp,2025-01-23,2024-12-31,,USD
ABCB,Ameris Bancorp,2025-04-23,2025-03-31,,USD
ABCCF,ABCCF,2024-09-24,2024-06-30,,EUR
ABCCF,ABCCF,2025-03-24,2024-12-31,,EUR
ABCFF,ABCFF,2024-11-29,2024-09-30,,CAD
ABCL,AbCellera Biologics Inc,2024-08-01,2024-06-30,-0.14,USD
ABCL,AbCellera Biologics Inc,2024-10-31,2024-09-30,,USD
ABCL,AbCellera Biologics Inc,2025-02-18,2024-12-31,,USD
ABCL,AbCellera Biologics Inc,2025-05-05,2025-03-31,-0.17,USD
ABCP,ABCP,2024-07-30,2024-06-30,,USD
ABCP,ABCP,2024-11-07,2024-09-30,,USD
ABCP,ABCP,2025-03-17,2024-12-31,,USD
ABCP,ABCP,2025-05-07,2025-03-31,,USD
ABDDF,ABDDF,2025-02-27,2024-11-30,,USD
ABDDF,ABDDF,2025-04-21,2025-02-28,,USD
ABEO,Abeona Therapeutics Inc,2024-08-06,2024-06-30,-0.34,USD
ABEO,Abeona Therapeutics Inc,2024-11-11,2024-09-30,,USD
ABEO,Abeona Therapeutics Inc,2025-03-17,2024-12-31,,USD
ABEO,Abeona Therapeutics Inc,2025-04-24,2025-03-31,,USD
ABEPF,ABEPF,2025-02-28,2024-11-30,,CAD
ABEV,Ambev S.A.,2024-08-01,2024-06-30,0.03,BRL
ABEV,Ambev S.A.,2024-10-31,2024-09-30,,BRL
ABEV,Ambev S.A.,2025-02-26,2024-12-31,,BRL
ABEV,Ambev S.A.,2025-05-06,2025-03-31,,BRL
ABG,Asbury Automotive Group Inc,2024-07-23,2024-06-30,7.75,USD
ABG,Asbury Automotive Group Inc,2024-10-22,2024-09-30,,USD
ABG,Asbury Automotive Group Inc,2025-02-06,2024-12-31,,USD
ABG,Asbury Automotive Group Inc,2025-05-14,2025-03-31,,USD
ABGSF,ABGSF,2024-07-05,2024-06-30,,NOK
ABGSF,ABGSF,2024-10-17,2024-09-30,,NOK
ABGSF,ABGSF,2025-02-13,2024-12-31,,NOK
ABGSF,ABGSF,2025-04-18,2025-03-31,,NOK
ABHBY,ABHBY,2024-08-21,2024-06-30,,USD
ABIO,ARCA biopharma Inc,2024-07-19,2024-06-30,,USD
ABIO,ARCA biopharma Inc,2024-10-16,2024-09-30,,USD
ABIO,ARCA biopharma Inc,2025-01-30,2024-12-31,,USD
ABIO,ARCA biopharma Inc,2025-04-23,2025-03-31,,USD
ABL,Abacus Life Inc - Class A,2024-08-14,2024-06-30,0.13,USD
ABL,Abacus Life Inc - Class A,2024-11-11,2024-09-30,,USD
ABL,Abacus Life Inc - Class A,2025-03-19,2024-12-31,,USD
ABL,Abacus Life Inc - Class A,2025-06-13,2025-03-31,,USD
ABLLL,Abacus Life Inc,2024-08-14,2024-06-30,,USD
ABLLL,Abacus Life Inc,2024-11-11,2024-09-30,,USD
ABLLL,Abacus Life Inc,2025-03-19,2024-12-31,,USD
ABLLL,Abacus Life Inc,2025-06-13,2025-03-31,,USD
ABLZF,ABLZF,2024-07-18,2024-06-30,,USD
ABLZF,ABLZF,2024-10-17,2024-09-30,,USD
ABLZF,ABLZF,2025-01-30,2024-12-31,,USD
ABLZF,ABLZF,2025-04-16,2025-03-31,,USD
ABM,ABM Industries Inc,2024-09-05,2024-07-31,0.85,USD
ABM,ABM Industries Inc,2024-12-11,2024-10-31,,USD
ABM,ABM Industries Inc,2025-03-05,2025-01-31,,USD
ABMBF,ABMBF,2024-11-27,2024-09-30,,CAD
ABMBF,ABMBF,2025-02-25,2024-12-31,,CAD
ABMC,ABMC,2024-08-21,2024-06-30,0,USD
ABMLD,ABMLD,2024-09-26,2024-06-30,,USD
ABMRF,ABMRF,2024-08-07,2024-06-30,,EUR
ABMRF,ABMRF,2024-11-13,2024-09-30,,EUR
ABMRF,ABMRF,2025-02-12,2024-12-31,,EUR
ABMRF,ABMRF,2025-05-13,2025-03-31,,EUR
ABNAF,ABNAF,2024-08-20,2024-06-30,,CAD
ABNAF,ABNAF,2024-11-21,2024-09-30,,CAD
ABNAF,ABNAF,2025-02-25,2024-12-31,,CAD
ABNB,Airbnb Inc - Class A,2024-08-01,2024-06-30,0.9,USD
ABNB,Airbnb Inc - Class A,2024-10-30,2024-09-30,,USD
ABNB,Airbnb Inc - Class A,2025-02-11,2024-12-31,,USD
ABNB,Airbnb Inc - Class A,2025-05-06,2025-03-31,,USD
ABOIF,ABOIF,2024-08-02,2024-06-30,,PHP
ABOIF,ABOIF,2024-11-04,2024-09-30,,PHP
ABOIF,ABOIF,2025-03-13,2024-12-31,,PHP
ABOS,Acumen Pharmaceuticals Inc,2024-08-08,2024-06-30,-0.28,USD
ABOS,Acumen Pharmaceuticals Inc,2024-11-13,2024-09-30,,USD
ABOS,Acumen Pharmaceuticals Inc,2025-03-24,2024-12-31,,USD
ABOS,Acumen Pharmaceuticals Inc,2025-05-12,2025-03-31,,USD
ABR,Arbor Realty Trust Inc,2024-07-26,2024-06-30,0.42,USD
ABR,Arbor Realty Trust Inc,2024-10-25,2024-09-30,,USD
ABR,Arbor Realty Trust Inc,2025-02-14,2024-12-31,,USD
ABR-PD,ABR-PD,2024-07-26,2024-06-30,,USD
ABR-PD,ABR-PD,2024-10-25,2024-09-30,,USD
ABR-PD,ABR-PD,2025-02-14,2024-12-31,,USD
ABR-PE,ABR-PE,2024-07-26,2024-06-30,,USD
ABR-PE,ABR-PE,2024-10-25,2024-09-30,,USD
ABR-PE,ABR-PE,2025-02-14,2024-12-31,,USD
ABR-PF,ABR-PF,2024-07-26,2024-06-30,,USD
ABR-PF,ABR-PF,2024-10-25,2024-09-30,,USD
ABR-PF,ABR-PF,2025-02-14,2024-12-31,,USD
ABSCF,ABSCF,2024-06-28,2024-03-31,,EUR
ABSCF,ABSCF,2024-09-30,2024-06-30,,EUR
ABSI,Absci Corp,2024-08-12,2024-06-30,-0.2,USD
ABSI,Absci Corp,2024-11-14,2024-09-30,,USD
ABSI,Absci Corp,2025-03-19,2024-12-31,,USD
ABSI,Absci Corp,2025-05-12,2025-03-31,,USD
ABSOF,ABSOF,2024-08-12,2024-06-30,,PHP
ABSOF,ABSOF,2024-11-12,2024-09-30,,PHP
ABSOF,ABSOF,2025-05-12,2025-03-31,,PHP
ABSSF,ABSSF,2024-08-07,2024-06-30,,USD
ABSSF,ABSSF,2024-11-06,2024-09-30,,USD
ABSSF,ABSSF,2025-03-04,2024-12-31,,USD
ABSSF,ABSSF,2025-05-06,2025-03-31,,USD
ABT,Abbott Laboratories,2024-07-18,2024-06-30,1.1,USD
ABT,Abbott Laboratories,2024-10-16,2024-09-30,,USD
ABT,Abbott Laboratories,2025-01-22,2024-12-31,,USD
ABT,Abbott Laboratories,2025-04-25,2025-03-31,,USD
ABTI,ABTI,2024-08-14,2024-06-30,,USD
ABTI,ABTI,2024-11-19,2024-09-30,,USD
ABTZY,ABTZY,2024-08-02,2024-06-30,,PHP
ABTZY,ABTZY,2024-11-04,2024-09-30,,PHP
ABTZY,ABTZY,2025-03-13,2024-12-31,,PHP
ABUS,Arbutus Biopharma Corp,2024-08-01,2024-06-30,-0.1,USD
ABUS,Arbutus Biopharma Corp,2024-11-05,2024-09-30,,USD
ABUS,Arbutus Biopharma Corp,2025-02-26,2024-12-31,,USD
ABUS,Arbutus Biopharma Corp,2025-04-30,2025-03-31,,USD
ABVC,ABVC BioPharma Inc,2024-08-12,2024-06-30,,USD
ABVC,ABVC BioPharma Inc,2024-11-13,2024-09-30,,USD
ABVC,ABVC BioPharma Inc,2025-03-11,2024-12-31,,USD
ABVC,ABVC BioPharma Inc,2025-04-16,2025-03-31,,USD
ABVX,Abivax,2024-09-09,2024-06-30,,EUR
ABVX,Abivax,2024-11-07,2024-09-30,,EUR
ABVX,Abivax,2025-03-31,2024-12-31,,EUR
ABVX,Abivax,2025-05-30,2025-03-31,,EUR
ABXXF,ABXXF,2024-11-15,2024-09-30,,CAD
ABZPY,ABZPY,2024-08-02,2024-06-30,,PHP
ABZPY,ABZPY,2024-11-04,2024-09-30,,PHP
ABZPY,ABZPY,2025-03-13,2024-12-31,,PHP
ABZPY,ABZPY,2025-04-28,2025-03-31,,PHP
AC,Associated Capital Group Inc - Class A,2024-08-07,2024-06-30,,USD
AC,Associated Capital Group Inc - Class A,2024-11-06,2024-09-30,,USD
AC,Associated Capital Group Inc - Class A,2025-02-04,2024-12-31,,USD
AC,Associated Capital Group Inc - Class A,2025-06-04,2025-03-31,,USD
ACA,Arcosa Inc,2024-08-01,2024-06-30,0.84,USD
ACA,Arcosa Inc,2024-10-30,2024-09-30,,USD
ACA,Arcosa Inc,2025-02-20,2024-12-31,,USD
ACA,Arcosa Inc,2025-05-08,2025-03-31,,USD
ACAD,Acadia Pharmaceuticals Inc,2024-07-31,2024-06-30,0.19,USD
ACAD,Acadia Pharmaceuticals Inc,2024-10-31,2024-09-30,,USD
ACAD,Acadia Pharmaceuticals Inc,2025-02-25,2024-12-31,,USD
ACAD,Acadia Pharmaceuticals Inc,2025-05-06,2025-03-31,0.05,USD
ACAN,ACAN,2024-08-14,2024-06-30,,USD
ACAN,ACAN,2024-12-20,2024-09-30,,USD
ACAN,ACAN,2025-02-12,2024-12-31,,USD
ACAZF,ACAZF,2024-07-24,2024-06-30,,USD
ACAZF,ACAZF,2024-10-30,2024-09-30,,USD
ACAZF,ACAZF,2025-02-05,2024-12-31,,USD
ACAZF,ACAZF,2025-05-09,2025-03-31,,USD
ACB,Aurora Cannabis Inc,2024-08-08,2024-06-30,,CAD
ACB,Aurora Cannabis Inc,2024-11-07,2024-09-30,,CAD
ACB,Aurora Cannabis Inc,2025-02-06,2024-12-31,,CAD
ACBM,ACBM,2024-08-02,2024-06-30,,USD
ACCD,Accolade Inc,2024-06-27,2024-05-31,-0.48,USD
ACCD,Accolade Inc,2024-10-02,2024-08-31,,USD
ACCD,Accolade Inc,2025-01-06,2024-11-30,,USD
ACCD,Accolade Inc,2025-04-23,2025-02-28,,USD
ACCFF,ACCFF,2024-08-08,2024-06-30,,CAD
ACCFF,ACCFF,2024-11-12,2024-09-30,,CAD
ACCFF,ACCFF,2025-03-24,2024-12-31,,CAD
ACCFF,ACCFF,2025-05-12,2025-03-31,,CAD
ACCMF,ACCMF,2024-08-15,2024-06-30,,SEK
ACCMF,ACCMF,2024-11-07,2024-09-30,,SEK
ACCMF,ACCMF,2025-02-20,2024-12-31,,SEK
ACCMF,ACCMF,2025-05-14,2025-03-31,,SEK
ACCO,Acco Brands Corporation,2024-08-06,2024-06-30,0.31,USD
ACCO,Acco Brands Corporation,2024-10-31,2024-09-30,,USD
ACCO,Acco Brands Corporation,2025-02-20,2024-12-31,,USD
ACCO,Acco Brands Corporation,2025-04-30,2025-03-31,,USD
ACCYY,ACCYY,2024-07-25,2024-06-30,,EUR
ACCYY,ACCYY,2025-02-20,2024-12-31,,EUR
ACCYY,ACCYY,2025-05-30,2025-03-31,,EUR
ACDC,ProFrac Holding Corp Class A,2025-05-30,2025-03-31,,USD
ACDSF,ACDSF,2024-07-29,2024-06-30,,USD
ACDSF,ACDSF,2025-01-30,2024-12-31,,USD
ACDSF,ACDSF,2025-04-25,2025-03-31,,USD
ACDVF,ACDVF,2024-08-09,2024-06-30,0.83,CAD
ACDVF,ACDVF,2024-10-28,2024-09-30,,CAD
ACDVF,ACDVF,2025-02-14,2024-12-31,,CAD
ACEHF,ACEHF,2025-06-05,2025-03-31,,USD
ACEJF,ACEJF,2024-07-25,2024-06-30,,USD
ACEJF,ACEJF,2024-11-14,2024-09-30,,USD
ACEJF,ACEJF,2025-03-03,2024-12-31,,USD
ACEL,Accel Entertainment Inc - Class A1,2024-08-01,2024-06-30,0.21,USD
ACEL,Accel Entertainment Inc - Class A1,2024-11-05,2024-09-30,,USD
ACEL,Accel Entertainment Inc - Class A1,2025-02-26,2024-12-31,,USD
ACEL,Accel Entertainment Inc - Class A1,2025-05-09,2025-03-31,0.21,USD
ACEND,ACEND,2024-09-20,2024-06-30,,USD
ACENY,ACENY,2024-09-20,2024-06-30,,USD
ACENY,ACENY,2025-03-19,2024-12-31,,USD
ACER,ACER,2024-08-12,2024-06-30,,USD
ACET,Adicet Bio Inc,2024-08-07,2024-06-30,-0.36,USD
ACET,Adicet Bio Inc,2024-11-06,2024-09-30,,USD
ACET,Adicet Bio Inc,2025-03-17,2024-12-31,,USD
ACET,Adicet Bio Inc,2025-05-12,2025-03-31,,USD
ACEYY,ACEYY,2024-06-25,2024-03-31,,TWD
ACEYY,ACEYY,2024-08-01,2024-06-30,,TWD
ACEYY,ACEYY,2024-10-31,2024-09-30,,TWD
ACEYY,ACEYY,2025-03-12,2024-12-31,,TWD
ACEYY,ACEYY,2025-05-07,2025-03-31,,TWD
ACFN,ACFN,2024-09-11,2024-06-30,,USD
ACFN,ACFN,2024-11-07,2024-09-30,,USD
ACFN,ACFN,2025-03-05,2024-12-31,,USD
ACFND,ACFND,2024-08-08,2024-06-30,,USD
ACGBF,ACGBF,2024-08-27,2024-06-30,,CNY
ACGBF,ACGBF,2024-10-25,2024-09-30,,CNY
ACGBF,ACGBF,2025-03-26,2024-12-31,,CNY
ACGBF,ACGBF,2025-04-28,2025-03-31,,CNY
ACGBY,ACGBY,2024-08-27,2024-06-30,,CNY
ACGBY,ACGBY,2024-10-25,2024-09-30,,CNY
ACGBY,ACGBY,2025-03-26,2024-12-31,,CNY
ACGBY,ACGBY,2025-04-28,2025-03-31,,CNY
ACGL,Arch Capital Group Ltd,2024-07-24,2024-06-30,2.18,USD
ACGL,Arch Capital Group Ltd,2025-05-09,2025-03-31,,USD
ACGLN,Arch Capital Group Ltd,2024-07-24,2024-06-30,,USD
ACGLN,Arch Capital Group Ltd,2025-05-09,2025-03-31,,USD
ACGLO,Arch Capital Group Ltd,2024-07-24,2024-06-30,,USD
ACGLO,Arch Capital Group Ltd,2025-05-09,2025-03-31,,USD
ACGYF,ACGYF,2024-07-25,2024-06-30,,USD
ACGYF,ACGYF,2024-11-21,2024-09-30,,USD
ACGYF,ACGYF,2025-02-26,2024-12-31,,USD
ACGYF,ACGYF,2025-04-23,2025-03-31,,USD
ACHC,Acadia Healthcare Company Inc,2024-07-25,2024-06-30,0.88,USD
ACHC,Acadia Healthcare Company Inc,2024-10-31,2024-09-30,,USD
ACHC,Acadia Healthcare Company Inc,2025-02-25,2024-12-31,,USD
ACHC,Acadia Healthcare Company Inc,2025-04-29,2025-03-31,,USD
ACHFF,ACHFF,2024-08-27,2024-06-30,-0.02,CAD
ACHFF,ACHFF,2025-02-26,2024-12-31,,CAD
ACHFF,ACHFF,2025-04-02,2025-03-31,,CAD
ACHL,Achilles Therapeutics Plc,2024-08-02,2024-06-30,-0.41,USD
ACHL,Achilles Therapeutics Plc,2024-11-11,2024-09-30,,USD
ACHL,Achilles Therapeutics Plc,2025-05-06,2025-03-31,,USD
ACHR,Archer Aviation Inc - Class A,2024-08-08,2024-06-30,-0.33,USD
ACHR,Archer Aviation Inc - Class A,2024-11-07,2024-09-30,,USD
ACHR,Archer Aviation Inc - Class A,2025-02-24,2024-12-31,,USD
ACHV,Achieve Life Sciences Inc,2024-08-12,2024-06-30,-0.23,USD
ACHV,Achieve Life Sciences Inc,2024-11-07,2024-09-30,,USD
ACHV,Achieve Life Sciences Inc,2025-03-26,2024-12-31,,USD
ACHV,Achieve Life Sciences Inc,2025-05-07,2025-03-31,,USD
ACI,Albertsons Companies Inc - Class A,2024-07-23,2024-05-31,0.68,USD
ACI,Albertsons Companies Inc - Class A,2024-10-15,2024-08-31,,USD
ACI,Albertsons Companies Inc - Class A,2025-01-07,2024-11-30,,USD
ACI,Albertsons Companies Inc - Class A,2025-04-21,2025-02-28,,USD
ACIC,American Coastal Insurance Corp,2024-08-08,2024-06-30,0.3,USD
ACIC,American Coastal Insurance Corp,2024-11-11,2024-09-30,,USD
ACIC,American Coastal Insurance Corp,2025-02-26,2024-12-31,,USD
ACIC,American Coastal Insurance Corp,2025-05-14,2025-03-31,,USD
ACITF,ACITF,2024-09-26,2024-06-30,,USD
ACITF,ACITF,2024-12-26,2024-09-30,,USD
ACIU,AC Immune SA,2024-06-21,2024-03-31,-0.15,CHF
ACIU,AC Immune SA,2024-08-02,2024-06-30,0.54,CHF
ACIU,AC Immune SA,2024-11-01,2024-09-30,,CHF
ACIU,AC Immune SA,2025-03-12,2024-12-31,,CHF
ACIW,ACI Worldwide Inc,2024-08-01,2024-06-30,0.07,USD
ACIW,ACI Worldwide Inc,2024-10-31,2024-09-30,,USD
ACIW,ACI Worldwide Inc,2025-02-26,2024-12-31,,USD
ACIW,ACI Worldwide Inc,2025-04-28,2025-03-31,,USD
ACIXF,ACIXF,2024-08-22,2024-06-30,,SEK
ACIXF,ACIXF,2024-11-07,2024-09-30,,SEK
ACIXF,ACIXF,2025-02-13,2024-12-31,,SEK
ACIXF,ACIXF,2025-05-14,2025-03-31,,SEK
ACJJF,ACJJF,2024-07-26,2024-06-30,,JPY
ACJJF,ACJJF,2024-11-07,2024-09-30,,JPY
ACJJF,ACJJF,2025-01-29,2024-12-31,,JPY
ACKAY,ACKAY,2024-07-19,2024-06-30,,TRY
ACKAY,ACKAY,2024-10-18,2024-09-30,,TRY
ACKAY,ACKAY,2025-02-27,2024-12-31,,TRY
ACKAY,ACKAY,2025-04-04,2025-03-31,,TRY
ACKDF,ACKDF,2024-08-22,2024-06-30,,USD
ACKDF,ACKDF,2024-10-17,2024-09-30,,USD
ACKDF,ACKDF,2025-02-20,2024-12-31,,USD
ACKRF,ACKRF,2024-12-13,2024-09-30,,CAD
ACLHF,ACLHF,2024-08-28,2024-06-30,,USD
ACLHF,ACLHF,2025-02-26,2024-12-31,,USD
ACLHF,ACLHF,2025-05-16,2025-03-31,,USD
ACLLF,ACLLF,2024-07-25,2024-06-30,,USD
ACLLF,ACLLF,2024-10-24,2024-09-30,,USD
ACLLF,ACLLF,2025-02-26,2024-12-31,,USD
ACLS,Axcelis Technologies Inc,2024-07-31,2024-06-30,1.3,USD
ACLS,Axcelis Technologies Inc,2024-10-30,2024-09-30,,USD
ACLS,Axcelis Technologies Inc,2025-02-05,2024-12-31,,USD
